time,height
45.46,0.8688185
45.489,0.94371605
45.525,0.77858007
45.549,0.45257688
45.581,0.09962052
45.611,-0.23319641
45.649,-0.45856348
45.691,-0.5585765
45.707,-0.53792995
45.763,-0.43896735
45.776,-0.25336948
45.802,-0.092252776
45.833,0.096441776
45.862,0.2781415
45.896,0.44129968
45.929,0.52550286
45.957,0.50487906
45.988,0.3641293
46.022,0.10251737
46.052,-0.22568846
46.085,-0.5335262
46.116,-0.7176853
46.147,-0.7155105
46.186,-0.4685663
46.211,-0.09280366
46.243,0.3934247
46.276,0.81771195
46.307,1.0053571
46.347,0.879798
46.37,0.45126575
46.404,-0.17063272
46.437,-0.81573236
46.47,-1.2153342
46.499,-1.2875631
46.529,-0.9536487
46.562,-0.2774927
46.591,0.49087352
46.625,1.2100351
46.66,1.5846958
46.686,1.4948816
46.717,0.9686624
46.753,0.05089432
46.779,-0.8507139
46.813,-1.6224141
46.846,-1.8577349
46.874,-1.5824814
46.905,-0.79530513
46.942,0.27185762
46.97,1.260045
47.002,1.9149845
47.035,1.9978112
47.064,1.4539883
47.094,0.4845907
47.127,-0.64397335
47.156,-1.597523
47.194,-2.1065567
47.221,-1.9425561
47.25,-1.2427279
47.297,-0.05141127
47.318,1.0876085
47.346,1.8417422
47.38,2.074327
47.413,1.6461842
47.443,0.6773565
47.483,-0.42249644
47.506,-1.3862392
47.537,-1.8643398
47.57,-1.7283303
47.603,-1.023819
47.635,-0.039854825
47.666,0.945768
47.7,1.5910081
47.734,1.6171441
47.761,1.1029397
47.792,0.2248269
47.832,-0.80582345
47.858,-1.4659588
47.89,-1.6252909
47.923,-1.201295
47.955,-0.25489178
47.985,0.71877927
48.02,1.547289
48.051,1.8661886
48.087,1.5029817
48.115,0.6659335
48.143,-0.451159
48.181,-1.535284
48.21,-2.1281512
48.241,-2.0449636
48.284,-1.2782385
48.306,-0.1307558
48.338,1.1880754
48.378,2.030043
48.403,2.3040836
48.433,1.85432
48.468,0.7362268
48.495,-0.43816772
48.528,-1.6039085
48.56,-2.198723
48.595,-2.05785
48.625,-1.275527
48.67,0.085530266
48.694,1.1313332
48.726,1.9548508
48.753,2.0840564
48.785,1.5199223
48.816,0.43843096
48.852,-0.8333289
48.881,-1.7244982
48.912,-2.1503901
48.945,-1.8526726
48.977,-0.84960544
49.008,0.37899217
49.04,1.5505137
49.077,2.2441592
49.105,2.2291799
49.134,1.5039942
49.169,0.29500383
49.199,-1.0170331
49.233,-2.0215297
49.263,-2.4087188
49.297,-2.0917282
49.326,-1.1947616
49.361,0.08927992
49.392,1.2646043
49.427,2.0156176
49.455,2.1383142
49.487,1.6086938
49.519,0.69475186
49.551,-0.32808518
49.584,-1.17835
49.616,-1.5860059
49.645,-1.4719342
49.676,-0.91295034
49.711,-0.12044224
49.744,0.53823566
49.772,0.8766723
